order_id,settlement_txn_id,utr,case_type,trap_type
ORD-ADV-0000,STL-HGI1JNYT,UTRRGCIQALRM,clean,amount_twins
ORD-ADV-0001,STL-H0V2235H,UTROFVBBMI1F,clean,amount_twins
ORD-ADV-0002,STL-GUCZYDLB,UTRRGCIQALRM,clean,amount_twins
ORD-ADV-0003,STL-PN7CSHQB,UTROFVBBMI1F,clean,amount_twins
ORD-ADV-0004,STL-8Z0P7GSG,UTRRGCIQALRM,clean,amount_twins
ORD-ADV-0005,STL-GYP7WFWN,UTROFVBBMI1F,clean,amount_twins
ORD-ADV-0006,STL-O69XPT3E,UTRRGCIQALRM,clean,amount_twins
ORD-ADV-0007,STL-C0Z2F7EE,UTROFVBBMI1F,clean,amount_twins
ORD-ADV-0008,STL-9O75LRIJ,UTROFVBBMI1F,clean,coincidental_subset_true
ORD-ADV-0009,STL-YSA3MNM3,UTROFVBBMI1F,clean,coincidental_subset_true
ORD-ADV-0010,STL-3TGBN41I,UTROFVBBMI1F,clean,coincidental_subset_true
ORD-ADV-0011,STL-XL5ZH3YI,UTRRJXC71GM8,clean,coincidental_subset_decoy
ORD-ADV-0012,STL-1CP8JS65,UTRRJXC71GM8,clean,coincidental_subset_decoy
ORD-ADV-0013,STL-E6PK83FN,UTRTBSNM2IV8,partial_refund,near_fee_trap
ORD-ADV-0014,STL-5WZHMHAM,UTRTBSNM2IV8,partial_refund,near_fee_trap
ORD-ADV-0015,STL-GXGXX05I,UTRTBSNM2IV8,partial_refund,near_fee_trap
ORD-ADV-0016,STL-OETALY0G,UTRGGER80ANY,clean,off_by_one_day_on_time
ORD-ADV-0017,STL-H00QTWW1,UTRV65F6FPJV,clean,off_by_one_day_late
ORD-ADV-0018,STL-093CBCK8,UTRGGER80ANY,clean,off_by_one_day_on_time
ORD-ADV-0019,STL-VK192OGQ,UTRV65F6FPJV,clean,off_by_one_day_late
ORD-ADV-0020,STL-EQ4ZP8GJ,UTRGGER80ANY,clean,off_by_one_day_on_time
ORD-ADV-0021,STL-U6N37R66,UTRV65F6FPJV,clean,off_by_one_day_late
