entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
STL-HGI1JNYT,payment,0,244100,250000,INR,5900,900,False,True,1740979800,1741168440,SB-ADV-20250305,,default,,,,UTRRGCIQALRM,order_BoPNfy0d3x0pjA,ORD-ADV-0000,card,,,credit,
STL-H0V2235H,payment,0,244100,250000,INR,5900,900,False,True,1741066200,1741266060,SB-ADV-20250306,,default,,,,UTROFVBBMI1F,order_ipADcULfqU2xOP,ORD-ADV-0001,card,,,credit,
STL-GUCZYDLB,payment,0,250935,257000,INR,6065,925,False,True,1740979800,1741173120,SB-ADV-20250305,,default,,,,UTRRGCIQALRM,order_7Mw0pGVIvXZOFv,ORD-ADV-0002,card,,,credit,
STL-PN7CSHQB,payment,0,250935,257000,INR,6065,925,False,True,1741066200,1741260600,SB-ADV-20250306,,default,,,,UTROFVBBMI1F,order_MeDDWr783aZWtX,ORD-ADV-0003,card,,,credit,
STL-8Z0P7GSG,payment,0,257770,264000,INR,6230,950,False,True,1740979800,1741153380,SB-ADV-20250305,,default,,,,UTRRGCIQALRM,order_dlOb4vZDv6rmo6,ORD-ADV-0004,card,,,credit,
STL-GYP7WFWN,payment,0,257770,264000,INR,6230,950,False,True,1741066200,1741235460,SB-ADV-20250306,,default,,,,UTROFVBBMI1F,order_yAyg5kvF2Tpwm0,ORD-ADV-0005,card,,,credit,
STL-O69XPT3E,payment,0,264604,271000,INR,6396,976,False,True,1740979800,1741154580,SB-ADV-20250305,,default,,,,UTRRGCIQALRM,order_sqYKgQXofO6ebZ,ORD-ADV-0006,card,,,credit,
STL-C0Z2F7EE,payment,0,264604,271000,INR,6396,976,False,True,1741066200,1741260540,SB-ADV-20250306,,default,,,,UTROFVBBMI1F,order_S37zTlymb812EI,ORD-ADV-0007,card,,,credit,
STL-9O75LRIJ,payment,0,100000,100000,INR,0,0,False,True,1741152600,1741246860,SB-ADV-20250306,,default,,,,UTROFVBBMI1F,order_kq7Y7nObfuKvvK,ORD-ADV-0008,upi,,,,
STL-YSA3MNM3,payment,0,200000,200000,INR,0,0,False,True,1741152600,1741250460,SB-ADV-20250306,,default,,,,UTROFVBBMI1F,order_exqvEA1UTLJw15,ORD-ADV-0009,upi,,,,
STL-3TGBN41I,payment,0,300000,300000,INR,0,0,False,True,1741152600,1741254960,SB-ADV-20250306,,default,,,,UTROFVBBMI1F,order_slumT4bd7H2M2i,ORD-ADV-0010,upi,,,,
STL-XL5ZH3YI,payment,0,150000,150000,INR,0,0,False,True,1741239000,1741355040,SB-ADV-20250307,,default,,,,UTRRJXC71GM8,order_BhN8TjRnKdAKfu,ORD-ADV-0011,upi,,,,
STL-1CP8JS65,payment,0,450000,450000,INR,0,0,False,True,1741239000,1741334280,SB-ADV-20250307,,default,,,,UTRRJXC71GM8,order_vPn9sw7dcdwrd3,ORD-ADV-0012,upi,,,,
STL-E6PK83FN,payment,0,480000,480000,INR,0,0,False,True,1741325400,1741604640,SB-ADV-20250310,,default,,,,UTRTBSNM2IV8,order_bkO29zrp6x2g79,ORD-ADV-0013,upi,,,,
rfnd_xeDJn6JZ6KZNni,refund,11328,0,11328,INR,0,0,False,True,1741604640,1741604640,SB-ADV-20250310,,default,Partial refund,,STL-E6PK83FN,UTRTBSNM2IV8,order_bkO29zrp6x2g79,ORD-ADV-0013,upi,,,,
STL-5WZHMHAM,payment,0,493000,493000,INR,0,0,False,True,1741325400,1741615680,SB-ADV-20250310,,default,,,,UTRTBSNM2IV8,order_pIQeR3WADbFLqu,ORD-ADV-0014,upi,,,,
rfnd_Khp5BujEMHXh2r,refund,11635,0,11635,INR,0,0,False,True,1741615680,1741615680,SB-ADV-20250310,,default,Partial refund,,STL-5WZHMHAM,UTRTBSNM2IV8,order_pIQeR3WADbFLqu,ORD-ADV-0014,upi,,,,
STL-GXGXX05I,payment,0,506000,506000,INR,0,0,False,True,1741325400,1741595040,SB-ADV-20250310,,default,,,,UTRTBSNM2IV8,order_cd9TIC3a6qPDHV,ORD-ADV-0015,upi,,,,
rfnd_6WOl6OdgBaEXSp,refund,11942,0,11942,INR,0,0,False,True,1741595040,1741595040,SB-ADV-20250310,,default,Partial refund,,STL-GXGXX05I,UTRTBSNM2IV8,order_cd9TIC3a6qPDHV,ORD-ADV-0015,upi,,,,
STL-OETALY0G,payment,0,311655,315000,INR,3345,510,False,True,1741411800,1741770720,SB-ADV-20250312,,default,,,,UTRGGER80ANY,order_TXrzyHofhfYswd,ORD-ADV-0016,card,,,debit,
STL-H00QTWW1,payment,0,311655,315000,INR,3345,510,False,True,1741411800,1741865340,SB-ADV-20250313,,default,,,,UTRV65F6FPJV,order_hqzBJzkBBNYqdN,ORD-ADV-0017,card,,,debit,
STL-093CBCK8,payment,0,316602,320000,INR,3398,518,False,True,1741411800,1741765320,SB-ADV-20250312,,default,,,,UTRGGER80ANY,order_MDtiQnjlDjUPAN,ORD-ADV-0018,card,,,debit,
STL-VK192OGQ,payment,0,316602,320000,INR,3398,518,False,True,1741411800,1741875300,SB-ADV-20250313,,default,,,,UTRV65F6FPJV,order_IKPjguuA9NkQik,ORD-ADV-0019,card,,,debit,
STL-EQ4ZP8GJ,payment,0,321549,325000,INR,3451,526,False,True,1741411800,1741760760,SB-ADV-20250312,,default,,,,UTRGGER80ANY,order_WMx6DCFWhNoAfC,ORD-ADV-0020,card,,,debit,
STL-U6N37R66,payment,0,321549,325000,INR,3451,526,False,True,1741411800,1741852740,SB-ADV-20250313,,default,,,,UTRV65F6FPJV,order_ar4Amui5JgknHh,ORD-ADV-0021,card,,,debit,
