utr,credit_datetime,credit_amount_paise,narration
UTRYKR1A4J7Y,2025-01-07T21:30:00,12510052,NEFT-RZPY-STLMT-UKFT/CR
UTRRTKJBZVT8,2025-01-08T21:30:00,11730023,NEFT-RAZORPAY-SETTLEMENT-J3QL
UTRRWA61TBIA,2025-01-09T21:30:00,25308233,NEFT-RAZORPAY-SETTLEMENT-NWIN
UTRZYR2WIFQ3,2025-01-10T21:30:00,31517705,IMPS-RAZORPAY-V4RX-SETTL
UTRW7U2NI6K4,2025-01-13T21:30:00,12112798,IMPS-RAZORPAY-4D10-SETTL
UTRCAKH9MJTM,2025-01-14T21:30:00,23937963,IMPS-RAZORPAY-WDI5-SETTL
UTRXQZND9HZ4,2025-01-15T21:30:00,14034650,RTGS/RAZORPAYSOFTWARE/126B
UTRQ1EKPO2ZV,2025-01-16T21:30:00,1117267,IMPS-RAZORPAY-RUNU-SETTL
UTRSZYS6RIFJ,2025-01-21T21:30:00,-4998919,IMPS-RAZORPAY-V64Z-SETTL
UTR0VKZ8JZ1N,2025-01-23T21:30:00,-4627593,NEFT-RZPY-STLMT-86AS/CR
UTR0A5JO76QT,2025-01-28T21:30:00,-3028766,IMPS-RAZORPAY-ANTL-SETTL
