entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
STL-GRLGSRAC,payment,0,469452,470868,INR,1416,216,False,True,1736225520,1736410680,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_UD8Jlh2D1XENnJ,ORD-1-0000,netbanking,,,,
STL-DA9TTG87,payment,0,4877195,4878611,INR,1416,216,False,True,1736348220,1736492280,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_7TLtvAu5r4DCHW,ORD-1-0001,netbanking,,,,
STL-H1HQHS3V,payment,0,392119,401597,INR,9478,1446,False,True,1736433060,1736770140,SB-1-20250113,,default,,,,UTRW7U2NI6K4,order_zjPDO9H672t5a7,ORD-1-0002,card,,,credit,
STL-FR9ID24W,payment,0,1507323,1507323,INR,0,0,False,True,1736333280,1736407740,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_W0lfFq1clV0dJj,ORD-1-0003,upi,,,,
STL-UW9734MG,payment,0,3064478,3138548,INR,74070,11299,False,True,1736580120,1736931600,SB-1-20250115,,default,,,,UTRXQZND9HZ4,order_aVge5tUMzM1lQA,ORD-1-0004,card,,,credit,
STL-1SAFPZ2U,payment,0,4118037,4119453,INR,1416,216,False,True,1736217660,1736416320,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_LIPkZa723Z8IHU,ORD-1-0005,netbanking,,,,
STL-NIJ6CNUB,payment,0,2149880,2172956,INR,23076,3520,False,True,1736228160,1736420340,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_zFrTZXeWsqFZrq,ORD-1-0006,card,,,debit,
STL-JSG6YWKK,payment,0,2065570,2087742,INR,22172,3382,False,True,1736228160,1736506740,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_zFrTZXeWsqFZrq,ORD-1-0006,card,,,debit,
STL-QNIE87HE,payment,0,1934411,1955175,INR,20764,3167,False,True,1736323860,1736508360,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_zzyrpZuCs7um0n,ORD-1-0007,card,,,debit,
STL-MJWP9ZRJ,payment,0,1597423,1598839,INR,1416,216,False,True,1736254500,1736427660,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_JluIE2HIj9Xabm,ORD-1-0008,netbanking,,,,
STL-4TI3C12H,payment,0,1504420,1520568,INR,16148,2463,False,True,1736670360,1736921580,SB-1-20250115,,default,,,,UTRXQZND9HZ4,order_Iw4OjVWoJcPTkm,ORD-1-0010,card,,,debit,
STL-15AVH62Y,payment,0,1611167,1611167,INR,0,0,False,True,1736159220,1736252400,SB-1-20250107,,default,,,,UTRYKR1A4J7Y,order_PjhOIikDq9ouY2,ORD-1-0011,upi,,,,
STL-FRMJ69GR,payment,0,3017208,3017208,INR,0,0,False,True,1736693100,1736857620,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_0t49jpdStw19OP,ORD-1-0012,upi,,,,
STL-ZW1U2SHR,payment,0,4500946,4500946,INR,0,0,False,True,1736243820,1736311860,SB-1-20250108,,default,,,,UTRRTKJBZVT8,order_sucq2YtwnxRWVq,ORD-1-0013,upi,,,,
STL-GLKMX7BH,payment,0,819033,838827,INR,19797,3020,False,True,1736660100,1736947320,SB-1-20250115,,default,,,,UTRXQZND9HZ4,order_zODQJfj5RFvZC3,ORD-1-0014,card,,,credit,
STL-MMRWTJ5C,payment,0,4166111,4210829,INR,44718,6821,False,True,1736340660,1736514120,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_Z9VXfqWW37Ihmy,ORD-1-0015,card,,,debit,
STL-11CIBPP2,payment,0,4913125,4913122,INR,0,0,False,True,1736423760,1736496660,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_myZhwApovqe7IE,ORD-1-0016,upi,,,,
STL-Y86ESMOF,payment,0,4998919,4998919,INR,0,0,False,True,1736153280,1736238420,SB-1-20250107,,default,,,,UTRYKR1A4J7Y,order_GMOzBQLJ8pyUz2,ORD-1-0017,upi,,,,
CB-8LI3G5VK,adjustment,4998919,0,4998919,INR,0,0,False,True,1737448020,1737448020,SB-1-20250121,,default,Chargeback adjustment,,STL-Y86ESMOF,UTRSZYS6RIFJ,order_GMOzBQLJ8pyUz2,ORD-1-0017,upi,,,,disp_HKZ9vF4qlkWhxi
STL-QNJGJUOZ,payment,0,4329048,4329048,INR,0,0,False,True,1736144820,1736242020,SB-1-20250107,,default,,,,UTRYKR1A4J7Y,order_yRhbHhlfF9MLg5,ORD-1-0018,upi,,,,
STL-JDAVNVF8,payment,0,4031410,4128851,INR,97441,14864,False,True,1736267820,1736416020,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_kxsZRQCJmCLRvt,ORD-1-0019,card,,,credit,
STL-N7UBYENX,payment,0,253576,253576,INR,0,0,False,True,1736312940,1736418960,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_cvg0MLpHxkgte4,ORD-1-0020,upi,,,,
STL-BQROZLUQ,payment,0,4126382,4126382,INR,0,0,False,True,1736398860,1736514660,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_j09eqR4nBDvbbG,ORD-1-0021,upi,,,,
STL-NOLXLGY2,payment,0,4689722,4689722,INR,0,0,False,True,1736574600,1736846280,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_16EimLnP64JHLd,ORD-1-0022,upi,,,,
STL-FQD4PP3H,payment,0,1668197,1708518,INR,40321,6151,False,True,1736440260,1736758380,SB-1-20250113,,default,,,,UTRW7U2NI6K4,order_wrGGQOo45mj9p3,ORD-1-0023,card,,,credit,
STL-RQCA6I1J,payment,0,732175,749868,INR,17696,2699,False,True,1736524020,1736830380,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_GVVrM1kFxFwiy7,ORD-1-0024,card,,,credit,
STL-CHR5YPUZ,payment,0,879175,880591,INR,1416,216,False,True,1736334720,1736487300,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_VnkEwubleZHjRx,ORD-1-0025,netbanking,,,,
STL-8TRI41WA,payment,0,3273551,3273551,INR,0,0,False,True,1736258880,1736312100,SB-1-20250108,,default,,,,UTRRTKJBZVT8,order_aLxeqTYlOX0oqd,ORD-1-0026,upi,,,,
STL-MFGDBWC4,payment,0,3198965,3198965,INR,0,0,False,True,1736599920,1736843460,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_FeqfMf5W2eQOLc,ORD-1-0027,upi,,,,
STL-VO8X9O9S,payment,0,2716840,2718256,INR,1416,216,False,True,1736615400,1736939160,SB-1-20250115,,default,,,,UTRXQZND9HZ4,order_W4pt8mn49XeMQm,ORD-1-0028,netbanking,,,,
