order_id,settlement_txn_id,utr,case_type,trap_type
ORD-2-0000,STL-6YIRQTXM,UTR8FTDWUX9G,clean,
ORD-2-0001,STL-LOYKX4JQ,UTRVYGPTTBEW,partial_refund,
ORD-2-0002,STL-HLP66OFU,UTRVYGPTTBEW,clean,
ORD-2-0003,STL-CR1WO49X,UTRVYGPTTBEW,clean,
ORD-2-0004,STL-Q37AR8VP,UTR8FTDWUX9G,clean,
ORD-2-0005,STL-5T4Y8R7R,UTRVYGPTTBEW,rounding_drift,
ORD-2-0006,STL-6TMD4Z16,UTR8FTDWUX9G,clean,
ORD-2-0007,STL-7QVE3RX9,UTRCCURSJDJW,clean,
ORD-2-0008,UNSETTLED,UNSETTLED,missing_settlement,
ORD-2-0009,STL-1PYPE6P6,UTRVYGPTTBEW,clean,
ORD-2-0010,STL-ONV1D7D4,UTRVYGPTTBEW,clean,
ORD-2-0011,STL-N2R7NZAG,UTRVYGPTTBEW,clean,
ORD-2-0012,STL-FTQFM2FN,UTR8FTDWUX9G,partial_refund,
ORD-2-0013,STL-2BGSDTEM,UTR0GP4AHZTE,partial_refund,
ORD-2-0014,STL-JE2W0U3V,UTRVYGPTTBEW,clean,
ORD-2-0014,CB-57K672RB,UTRM0RCJR6ZQ,chargeback_reversal,
ORD-2-0015,UNSETTLED,UNSETTLED,full_refund,
ORD-2-0016,STL-JF6P7G37,UTR68Q06ZNRX,clean,
ORD-2-0017,STL-TPF84973,UTR8FTDWUX9G,clean,
ORD-2-0018,UNSETTLED,UNSETTLED,missing_settlement,
ORD-2-0019,STL-59VMEE0F,UTR8FTDWUX9G,partial_refund,
ORD-2-0020,UNSETTLED,UNSETTLED,missing_settlement,
ORD-2-0021,STL-N5OI1VFF,UTR68Q06ZNRX,clean,
ORD-2-0022,STL-9J62492W,UTRCCURSJDJW,clean,
ORD-2-0023,STL-W49D1QCR,UTR8FTDWUX9G,clean,
ORD-2-0024,STL-R7C7DOV3,UTRVYGPTTBEW,clean,
ORD-2-0025,STL-6OHVC9XA,UTR8FTDWUX9G,clean,
ORD-2-0026,STL-XNSVE0SM,UTRCCURSJDJW,clean,
ORD-2-0027,STL-4GSVA258,UTR0853U8YPD,clean,
ORD-2-0028,STL-Z6N02NQU,UTRVYGPTTBEW,clean,
ORD-2-0029,STL-PLD4DEWN,UTR0853U8YPD,clean,
ORD-2-0030,STL-YXS0CJ0R,UTR8FTDWUX9G,split_settlement,
ORD-2-0030,STL-OHZZYBCC,UTRS3RHFWDK1,split_settlement,
ORD-2-0031,STL-P70QI812,UTRVYGPTTBEW,partial_refund,
ORD-2-0032,STL-OPTDH1KQ,UTRCCURSJDJW,clean,
ORD-2-0033,STL-W2ZXJIVN,UTR8FTDWUX9G,rounding_drift,
ORD-2-0034,STL-FRI5V9AG,UTR0853U8YPD,clean,
ORD-2-0035,STL-ALJ5QQVE,UTR0853U8YPD,clean,
ORD-2-0035-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-2-0036,UNSETTLED,UNSETTLED,missing_settlement,
ORD-2-0037,UNSETTLED,UNSETTLED,full_refund,
ORD-2-0038,STL-54QXFAF6,UTR8FTDWUX9G,clean,
ORD-2-0039,STL-RTKMTC5Q,UTR8FTDWUX9G,split_settlement,
ORD-2-0039,STL-ADE6ER14,UTRS3RHFWDK1,split_settlement,
ORD-2-0040,STL-Z4B0PK3Z,UTR0GP4AHZTE,clean,
ORD-2-0041,STL-6PSJG5MN,UTRFB7VFW1NC,rounding_drift,
ORD-2-0042,STL-N5LZO3IC,UTRFB7VFW1NC,clean,
ORD-2-0043,STL-7RTYZ862,UTR68Q06ZNRX,split_settlement,
ORD-2-0043,STL-UTTVVC88,UTR0853U8YPD,split_settlement,
ORD-2-0044,STL-DY7BC0BU,UTRFB7VFW1NC,clean,
ORD-2-0044-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-2-0045,STL-IXKQCQJ0,UTR0853U8YPD,clean,
ORD-2-0046,STL-KVC0DMLF,UTR0GP4AHZTE,clean,
ORD-2-0047,STL-N0RFCWKE,UTR0GP4AHZTE,clean,
ORD-2-0048,STL-DL7CXKBM,UTRVYGPTTBEW,clean,
ORD-2-0049,STL-PHVA9D1S,UTRFB7VFW1NC,partial_refund,
ORD-2-0050,STL-1JC5KAHV,UTRVYGPTTBEW,clean,
ORD-2-0051,STL-37L4Z510,UTR68Q06ZNRX,partial_refund,
ORD-2-0052,STL-JKR1IRC9,UTR0853U8YPD,clean,
ORD-2-0052-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-2-0053,STL-EKFXVRO6,UTR68Q06ZNRX,clean,
ORD-2-0054,STL-G6PKAWXT,UTRVYGPTTBEW,clean,
ORD-2-0055,STL-FVQ7XVDK,UTR8FTDWUX9G,clean,
ORD-2-0056,STL-VEJQIBSU,UTR0853U8YPD,partial_refund,
ORD-2-0057,STL-VRXWEWPJ,UTR0853U8YPD,clean,
ORD-2-0058,STL-H9J22VF7,UTRVYGPTTBEW,clean,
ORD-2-0059,STL-7Z47QYEL,UTR68Q06ZNRX,clean,
ORPHAN,STL-ZUR35HGP,UTRCCURSJDJW,orphan_settlement,
